value,name,bgg_id,date,type,classification
Team-Based Game,Deadwood 1876,245197,1/2/2024,classification,boardgamemechanic
Cooperative Game,Kingdom Rush: Rift in Time,272533,1/2/2024,classification,boardgamemechanic
Hand Management,Kingdom Rush: Rift in Time,272533,1/2/2024,classification,boardgamemechanic
Modular Board,Kingdom Rush: Rift in Time,272533,1/2/2024,classification,boardgamemechanic
Pattern Building,Kingdom Rush: Rift in Time,272533,1/2/2024,classification,boardgamemechanic
Tile Placement,Kingdom Rush: Rift in Time,272533,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Kingdom Rush: Rift in Time,272533,1/2/2024,classification,boardgamemechanic
Pattern Building,Gobblet,2266,1/2/2024,classification,boardgamemechanic
Pattern Recognition,Gobblet,2266,1/2/2024,classification,boardgamemechanic
Action Queue,La Isla,154246,1/2/2024,classification,boardgamemechanic
Commodity Speculation,La Isla,154246,1/2/2024,classification,boardgamemechanic
Enclosure,La Isla,154246,1/2/2024,classification,boardgamemechanic
Hand Management,La Isla,154246,1/2/2024,classification,boardgamemechanic
Modular Board,La Isla,154246,1/2/2024,classification,boardgamemechanic
Multi-Use Cards,La Isla,154246,1/2/2024,classification,boardgamemechanic
Set Collection,La Isla,154246,1/2/2024,classification,boardgamemechanic
Simultaneous Action Selection,La Isla,154246,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,Risk: Star Wars Edition,183880,1/2/2024,classification,boardgamemechanic
Area Movement,Risk: Star Wars Edition,183880,1/2/2024,classification,boardgamemechanic
Campaign / Battle Card Driven,Risk: Star Wars Edition,183880,1/2/2024,classification,boardgamemechanic
Dice Rolling,Risk: Star Wars Edition,183880,1/2/2024,classification,boardgamemechanic
Hand Management,Risk: Star Wars Edition,183880,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Risk: Star Wars Edition,183880,1/2/2024,classification,boardgamemechanic
Hand Management,Jaipur,54043,1/2/2024,classification,boardgamemechanic
Hidden Victory Points,Jaipur,54043,1/2/2024,classification,boardgamemechanic
Market,Jaipur,54043,1/2/2024,classification,boardgamemechanic
Open Drafting,Jaipur,54043,1/2/2024,classification,boardgamemechanic
Resource Queue,Jaipur,54043,1/2/2024,classification,boardgamemechanic
Score-and-Reset Game,Jaipur,54043,1/2/2024,classification,boardgamemechanic
Set Collection,Jaipur,54043,1/2/2024,classification,boardgamemechanic
Pattern Building,IOTA,119632,1/2/2024,classification,boardgamemechanic
Pattern Recognition,IOTA,119632,1/2/2024,classification,boardgamemechanic
Tile Placement,IOTA,119632,1/2/2024,classification,boardgamemechanic
Action Points,Warfighter: The WWII Pacific Combat Card Game,249421,1/2/2024,classification,boardgamemechanic
Campaign / Battle Card Driven,Warfighter: The WWII Pacific Combat Card Game,249421,1/2/2024,classification,boardgamemechanic
Cooperative Game,Warfighter: The WWII Pacific Combat Card Game,249421,1/2/2024,classification,boardgamemechanic
