users_rated,num_owners,max_players,bgg_rank,average_weight,average,min_players,year_published,name,max_playtime,min_playtime,bgg_id,date,type
861,1746,4,2302,2.24,7.56631,1,2020,The Grand Carnival,60,45,289081,1/2/2024,details
1369,2933,5,2318,2.1739,7.02797,2,2018,Now Boarding,60,30,231567,1/2/2024,details
877,1960,4,2365,2.8049,7.57983,1,2021,Seize the Bean,90,45,211364,1/2/2024,details
944,1493,5,2376,3.396,7.4632,2,2008,The Napoleonic Wars (Second Edition),240,240,36399,1/2/2024,details
4583,7778,2,2388,1.9106,6.39658,2,1997,Caesar & Cleopatra,60,60,132,1/2/2024,details
855,1430,10,4822,1.2,6.49456,4,2019,We're Doomed!,15,15,264806,1/2/2024,details
800,2351,4,4940,3.1724,6.71259,2,2019,Dungeonology: The Expedition,105,45,267652,1/2/2024,details
94781,131519,5,6,3.259,8.36691,1,2016,Terraforming Mars,120,120,167791,1/2/2024,details
60136,75875,4,16,2.9857,8.13475,2,2011,The Castles of Burgundy,90,30,84876,1/2/2024,details
33337,48508,6,104,2.414,7.69293,2,2009,Dominion: Intrigue,30,30,40834,1/2/2024,details
13089,14701,4,108,3.8972,7.85158,2,2015,Mombasa,150,75,172386,1/2/2024,details
5495,12220,4,119,2.9197,8.27554,1,2017,Aeon's End: War Eternal,60,60,218417,1/2/2024,details
9045,13299,4,129,3.8386,7.97707,2,2015,Forbidden Stars,180,120,175155,1/2/2024,details
9088,18162,4,166,3.4584,7.85599,1,2020,Viscounts of the West Kingdom,90,60,296151,1/2/2024,details
49785,78001,2,173,1.4665,7.48932,2,2009,Jaipur,30,30,54043,1/2/2024,details
8720,11923,2,206,2.693,7.77277,2,2006,Commands & Colors: Ancients,60,60,14105,1/2/2024,details
10124,21133,4,219,2.8929,7.69293,2,2017,Near and Far,120,90,195421,1/2/2024,details
14718,28977,4,240,1.1118,7.52125,1,2020,MicroMacro: Crime City,45,15,318977,1/2/2024,details
7162,13741,4,273,3.279,7.78404,1,2022,Endless Winter: Paleoamericans,120,60,305096,1/2/2024,details
20102,37037,5,331,2.1498,7.34013,1,2015,Tiny Epic Galaxies,45,30,163967,1/2/2024,details
6186,8995,5,348,2.8411,7.6417,1,2017,Nusfjord,100,20,234277,1/2/2024,details
18267,24647,4,357,1.6555,7.30302,2,2017,Bärenpark,45,30,219513,1/2/2024,details
21112,27602,4,371,2.9045,7.27418,1,2008,Ghost Stories,60,60,37046,1/2/2024,details
4861,10215,5,432,4.1073,7.90523,1,2017,Sword & Sorcery,90,60,170771,1/2/2024,details
6959,7663,5,444,2.1081,7.46579,2,2015,Stockpile,45,45,161614,1/2/2024,details
13599,19707,5,515,3.2457,7.2633,2,2011,Mansions of Madness,180,120,83330,1/2/2024,details
18788,32691,4,561,2.7635,7.12165,2,2012,Legends of Andor,90,60,127398,1/2/2024,details
4231,7589,5,590,2.8253,7.62336,2,2019,In the Hall of the Mountain King,90,90,265402,1/2/2024,details
5432,4426,4,598,2.8359,7.39319,2,2009,Egizia,90,90,58421,1/2/2024,details
3818,6659,4,623,4.1555,7.59743,1,2019,Cooper Island,120,60,269511,1/2/2024,details
2998,7638,1,675,2.4167,7.73873,1,2020,Warp's Edge,45,30,296237,1/2/2024,details
17783,23174,2,691,2.172,6.97687,2,2006,Mr. Jack,30,30,21763,1/2/2024,details
5159,9793,4,796,1.1053,7.24643,2,2017,Rhino Hero: Super Battle,20,10,218333,1/2/2024,details
26744,37986,4,808,1.7476,6.85926,2,2000,Blokus,20,20,2453,1/2/2024,details
2886,5221,4,815,2.7755,7.58935,2,2021,Witchstone,90,60,318560,1/2/2024,details
3056,5556,4,838,3.29,7.60201,1,2018,"Heroes of Land, Air & Sea",180,120,198830,1/2/2024,details
4917,8779,5,835,2.7288,7.33051,2,2017,Unfair,125,50,179172,1/2/2024,details
7173,9639,4,859,2.2362,7.0335,2,2012,Among the Stars,30,30,110277,1/2/2024,details
11064,22810,2,876,2.0697,6.96481,1,2016,One Deck Dungeon,30,30,179275,1/2/2024,details
2900,6088,5,936,2.3333,7.4842,2,2015,Catacombs (Third Edition),90,60,195137,1/2/2024,details
3547,4500,7,971,2.3883,7.30374,2,2014,Thunder Alley,90,90,108906,1/2/2024,details
6018,9017,5,1002,1.6047,6.99272,2,2016,Fabled Fruit,30,20,203427,1/2/2024,details
2467,5071,8,1021,1.1754,7.51252,2,2017,Smart10,120,20,241590,1/2/2024,details
8630,14390,2,1058,1.8251,6.8456,2,2010,Mr. Jack Pocket,15,15,72287,1/2/2024,details
5015,8219,5,1095,1.3893,6.99061,2,2014,Linko,20,20,153065,1/2/2024,details
6421,10060,5,1118,1.1953,6.88542,2,2015,Loony Quest,30,20,136991,1/2/2024,details
5503,9936,10,1124,1.1975,6.96227,4,2016,When I Dream,40,20,198454,1/2/2024,details
7505,11716,4,1129,1.4798,6.83126,2,2013,Terror in Meeple City,45,45,97903,1/2/2024,details
2096,4920,4,1138,1.8958,7.54555,2,2021,Kingdomino Origins,40,20,340041,1/2/2024,details
1944,3628,4,1176,3.7833,7.60927,1,2012,Andean Abyss,360,360,91080,1/2/2024,details
2270,2532,5,2414,1.4773,6.61929,2,2003,R-Eco,30,30,15290,1/2/2024,details
1290,2759,6,2425,2.8261,7.00527,2,2016,Key to the City: London,120,90,205507,1/2/2024,details
633,1232,4,2439,3.0488,8.61508,2,2021,Company of Heroes,120,60,281515,1/2/2024,details
1153,2740,2,2432,1.2414,7.09932,2,2017,The Game: Face to Face,20,20,236461,1/2/2024,details
18168,35226,99,2444,1.0951,6.22802,2,2010,Zombie Dice,20,10,62871,1/2/2024,details
644,2192,5,2466,4.0233,8.09116,2,2022,Successors (Fourth Edition),300,300,325348,1/2/2024,details
1475,3005,4,2496,2.1852,6.8712,1,2020,Sonora,45,30,296626,1/2/2024,details
777,1943,5,2490,2.7273,7.67592,1,2018,Legendary Encounters: The X-Files Deck Building Game,60,45,256874,1/2/2024,details
1020,2347,6,2588,3.2931,7.19399,1,2021,Pax Viking,90,60,303954,1/2/2024,details
2774,4232,2,2608,2.5254,6.49758,2,2005,Khet: The Laser Game,20,20,16991,1/2/2024,details
1263,1335,5,2637,2.8902,6.88588,2,2006,Canal Mania,90,90,19995,1/2/2024,details
611,1697,1,2586,2.0571,8.11964,1,2021,Eila and Something Shiny,45,30,293207,1/2/2024,details
893,2511,5,2626,3.8727,7.75834,1,2019,Skull Tales: Full Sail!,150,60,248949,1/2/2024,details
2193,5001,8,2685,1.0857,6.60969,2,2014,Roll For It! Deluxe Edition,30,30,164812,1/2/2024,details
3534,6643,2,2718,1.8343,6.37962,2,2005,Pentago,5,5,19841,1/2/2024,details
1137,1788,5,2772,3.0412,6.90925,3,2012,Noblemen,120,75,128931,1/2/2024,details
2902,5351,6,2776,1.1034,6.42704,2,2017,Go Nuts for Donuts,20,20,184346,1/2/2024,details
1190,1981,5,2833,1.4118,6.84707,2,2013,Potato Man,40,40,137155,1/2/2024,details
1208,1696,9,2898,3.1176,6.79538,2,1991,Outpost,150,150,1491,1/2/2024,details
836,1210,4,2928,1.8,7.17913,1,2022,Framework,30,30,353152,1/2/2024,details
569,1386,8,2940,1.2941,7.7689,4,2020,[kosmopoli:t],6,6,297658,1/2/2024,details
1740,2145,4,2948,1.4583,6.56293,2,2022,My Shelfie,30,30,366456,1/2/2024,details
1308,1821,8,3135,1.2857,6.65253,2,2011,Ultimate Warriorz,30,30,100679,1/2/2024,details
659,1231,2,3172,2.5847,7.46291,2,2007,World at War: Eisenbach Gap,90,90,25729,1/2/2024,details
908,1532,5,3211,2.9286,6.8838,3,2008,Prussian Rails,60,60,35285,1/2/2024,details
688,1123,6,3220,2.8,7.29785,2,1990,De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles,300,60,299,1/2/2024,details
918,1917,6,3237,1.0556,6.92606,2,2021,My Gold Mine,25,25,331571,1/2/2024,details
667,1665,4,3328,2.1613,7.28351,1,2022,Keystone: North America,60,30,329939,1/2/2024,details
675,1250,4,3368,1.8966,7.22872,2,2017,Tsukiji,30,20,142124,1/2/2024,details
1088,1630,12,3450,3.7528,6.72944,2,2008,"Warhammer 40,000 (Fifth Edition)",60,60,37165,1/2/2024,details
840,1567,7,3430,1.1,6.88741,2,2020,Durian,20,20,307963,1/2/2024,details
1470,3271,4,3501,2.0118,6.49125,2,2010,Masques,45,45,65673,1/2/2024,details
868,981,5,3550,2.51,6.79947,2,2001,Santa Fe Rails,60,60,3348,1/2/2024,details
814,1348,4,3541,2.3913,6.81553,2,2011,Poseidon's Kingdom,60,60,105624,1/2/2024,details
511,1310,2,3547,1.9,7.60663,1,2021,Doom Machine,30,15,323898,1/2/2024,details
1033,3184,5,3609,1.1667,6.6284,2,2020,Sequoia,10,10,305986,1/2/2024,details
604,1365,4,3630,1.8947,7.18605,1,2019,Run Fight or Die: Reloaded,40,20,257096,1/2/2024,details
931,1472,4,3690,2.2045,6.67227,2,2010,Railways of the World: The Card Game,60,30,68228,1/2/2024,details
1599,1429,6,3705,1.2316,6.33634,2,2002,The Bucket King,45,45,3141,1/2/2024,details
552,1032,4,3752,2.1579,7.20583,2,2017,Christmas Tree,45,30,234711,1/2/2024,details
444,1568,5,3715,3.6,7.62072,1,2023,Arborea,120,90,371077,1/2/2024,details
1346,2392,8,3800,2.4091,6.40924,2,2016,The Dragon & Flagon,60,60,193840,1/2/2024,details
